NOMBRE,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Frank KaminskyPHX,PF,47,15.2,6.6,2.6,5.5,47.1,0.7,1.8,36.5,0.8,1.3,61.7,4.0,1.7,0.3,0.4,0.5,2,0,15.84
Denzel ValentineCHI,SG,62,16.7,6.5,2.5,6.7,37.3,1.3,3.9,33.1,0.3,0.3,94.1,3.2,1.7,0.5,0.1,0.7,0,0,10.12
Damion LeeGS,SG,57,18.9,6.5,2.2,4.8,46.7,1.4,3.4,39.7,0.7,0.8,90.9,3.2,1.3,0.7,0.1,0.5,0,0,11.85
Nemanja BjelicaSAC/MIA,PF,37,16.1,6.5,2.4,5.3,45.4,0.7,2.3,31.8,1.0,1.4,72.5,3.4,1.9,0.4,0.1,0.9,0,0,12.9
Marquese ChrissSA/GS,SF,2,13.5,6.5,2.5,7.0,35.7,0.5,2.5,20.0,1.0,2.0,50.0,6.5,1.0,0.0,1.0,1.0,0,0,11.89
Chasson RandleORL,G,41,20.4,6.5,2.2,5.8,38.8,1.1,3.2,33.8,0.9,1.2,79.2,2.0,1.8,0.5,0.1,1.1,0,0,7.45
Avery BradleyMIA/HOU,PG,27,22.3,6.4,2.4,6.3,37.4,1.2,3.7,32.7,0.4,0.6,80.0,2.1,1.7,0.8,0.1,1.0,0,0,6.29
Alex CarusoLAL,SG,58,21.0,6.4,2.3,5.3,43.6,0.9,2.4,40.1,0.8,1.3,64.5,2.9,2.8,1.1,0.3,1.3,0,0,11.13
Timothe Luwawu-CabarrotBKN,SG,58,18.1,6.4,2.2,6.1,36.5,1.3,4.1,31.4,0.6,0.7,81.4,2.2,1.2,0.6,0.1,0.7,0,0,7.84
Kira Lewis Jr.NO,PG,54,16.7,6.4,2.4,6.2,38.6,0.7,2.2,33.3,0.8,0.9,84.3,1.3,2.3,0.7,0.2,0.6,0,0,10.3
Deni AvdijaWSH,SF,54,23.3,6.3,2.4,5.8,41.7,1.0,3.1,31.5,0.5,0.8,64.4,4.9,1.2,0.6,0.3,0.6,2,0,7.61
Tyus JonesMEM,PG,70,17.5,6.3,2.5,5.9,43.1,0.6,2.0,32.1,0.6,0.6,91.1,2.0,3.7,0.9,0.1,0.7,2,0,15.05
Chimezie MetuSAC,PF,36,13.6,6.3,2.5,5.0,50.8,0.4,1.0,35.1,0.9,1.2,72.1,3.1,0.8,0.4,0.5,0.8,0,0,14.6
Frank Mason IIIORL,G,4,19.8,6.3,2.3,6.0,37.5,0.5,1.3,40.0,1.3,1.8,71.4,3.0,3.0,0.0,0.0,1.3,0,0,7.55
Robert FranksORL,F,7,14.4,6.1,1.9,4.0,46.4,0.7,2.1,33.3,1.7,1.9,92.3,2.0,0.7,0.4,0.4,0.3,0,0,16.48
Aron BaynesTOR,C,53,18.5,6.1,2.5,5.7,44.1,0.5,1.9,26.2,0.5,0.8,70.7,5.2,0.9,0.3,0.4,0.9,2,0,10.5
Jaylen HoardOKC,SF,19,16.8,6.1,2.3,4.6,50.0,0.0,0.6,0.0,1.5,2.2,68.3,3.4,1.3,0.7,0.3,0.9,0,0,13.38
Facundo CampazzoDEN,PG,65,21.9,6.1,1.8,4.8,38.1,1.2,3.3,35.2,1.2,1.4,87.9,2.1,3.6,1.2,0.2,1.1,1,0,11.57
Max StrusMIA,SG,39,13.0,6.1,2.2,4.8,45.5,1.3,3.8,33.8,0.4,0.6,66.7,1.1,0.6,0.3,0.1,0.2,0,0,12.21
Dakota MathiasPHI,G,8,15.4,6.0,2.4,6.0,39.6,1.0,3.3,30.8,0.3,0.8,33.3,0.9,1.6,0.1,0.4,0.1,0,0,9.83
Dean WadeCLE,PF,63,19.2,6.0,2.1,4.9,43.1,1.2,3.4,36.6,0.5,0.6,76.9,3.4,1.2,0.6,0.3,0.5,1,0,11.37
Dwight PowellDAL,C,58,16.7,5.9,2.1,3.3,61.9,0.1,0.4,23.8,1.7,2.1,78.2,4.0,1.1,0.6,0.5,0.7,1,0,16.8
Drew EubanksSA,PF,54,14.0,5.8,2.1,3.8,56.6,0.0,0.0,100.0,1.4,2.0,72.6,4.5,0.8,0.3,0.9,0.8,3,0,17.92
DeAndre' BembryTOR,SG,51,19.1,5.7,2.3,4.5,51.3,0.3,1.0,26.4,0.9,1.3,68.2,2.9,2.1,1.0,0.4,1.4,0,0,11.28
Jordan NworaMIL,SF,30,9.1,5.7,2.1,4.5,45.9,0.9,2.1,45.2,0.6,0.8,76.0,2.0,0.2,0.5,0.2,0.8,2,0,16.15
Rodney McGruderDET,SG,16,12.1,5.7,2.3,4.4,52.9,0.7,1.5,45.8,0.4,0.5,75.0,1.4,1.0,0.5,0.1,0.4,0,0,16.14
Juan Toscano-AndersonGS,SF,53,20.9,5.7,2.3,3.9,57.9,0.7,1.7,40.2,0.4,0.6,71.0,4.4,2.8,0.8,0.5,1.2,0,0,12.62
Mychal MulderGS,SG,60,12.8,5.6,2.0,4.4,44.9,1.4,3.6,39.7,0.2,0.4,63.6,1.0,0.4,0.2,0.2,0.3,0,0,10.86
Donta HallTOR/ORL,F,13,13.8,5.6,1.9,2.7,71.4,0.0,0.0,0.0,1.8,2.6,67.6,4.8,0.8,0.4,0.8,0.6,1,0,22.32
Yogi FerrellLAC/CLE,PG,10,13.7,5.6,2.0,5.7,35.1,0.9,2.8,32.1,0.7,0.9,77.8,1.9,2.2,0.7,0.3,0.3,0,0,14.36
Saben LeeDET,PG,48,16.3,5.6,2.1,4.4,47.1,0.2,0.5,34.8,1.3,1.9,68.5,2.0,3.6,0.7,0.3,1.1,0,0,13.84
Freddie GillespieTOR,SF,20,19.6,5.6,2.2,4.2,52.4,0.0,0.0,0.0,1.2,1.7,69.7,4.9,0.5,0.7,1.0,0.6,0,0,13.44
Anthony LambHOU,SF,24,17.3,5.5,1.9,4.9,39.0,1.0,3.0,32.4,0.8,0.9,85.7,2.9,1.0,0.3,0.2,0.8,0,0,8.72
Jabari ParkerSAC/BOS,PF,13,12.7,5.5,2.3,4.2,54.5,0.2,0.8,18.2,0.8,1.0,76.9,3.2,0.8,0.1,0.4,0.8,0,0,14.75
Garrison MathewsWSH,F,64,16.2,5.5,1.5,3.7,40.9,1.2,3.1,38.4,1.3,1.5,88.4,1.4,0.4,0.5,0.1,0.2,0,0,9.7
Brad WanamakerGS/CHA,PG,61,17.3,5.5,1.9,4.9,38.5,0.3,1.4,18.8,1.5,1.7,89.1,1.7,2.9,0.7,0.2,1.2,0,0,9.52
Devin VassellSA,SG,62,17.0,5.5,2.0,4.9,40.6,0.8,2.4,34.7,0.7,0.8,84.3,2.8,0.9,0.7,0.3,0.4,0,0,10.64
Torrey CraigMIL/PHX,SF,50,16.1,5.5,2.2,4.5,48.0,0.8,2.1,36.8,0.3,0.4,77.3,3.9,1.0,0.6,0.5,0.5,2,0,14.23
Derrick FavorsUTAH,C,68,15.3,5.4,2.3,3.6,63.8,0.0,0.0,0.0,0.9,1.2,73.8,5.5,0.6,0.5,1.0,0.5,1,0,19.69
Tyler JohnsonBKN,SG,39,17.5,5.4,1.8,4.7,39.3,1.2,3.4,36.4,0.5,0.5,85.7,2.0,1.2,0.4,0.0,0.4,0,0,8.24
Justin PattonHOU,C,13,19.0,5.4,2.2,5.4,41.4,0.7,2.6,26.5,0.2,0.3,75.0,3.8,1.1,0.9,1.1,0.3,0,0,11.63
Rajon RondoATL/LAC,PG,45,17.1,5.4,2.1,4.8,44.2,0.8,2.0,40.4,0.4,0.4,94.1,2.4,4.4,0.8,0.1,1.8,0,0,13.2
Jarred VanderbiltMIN,PF,64,17.8,5.4,2.2,3.7,60.6,0.0,0.1,20.0,0.9,1.6,55.9,5.8,1.2,1.0,0.7,0.8,3,0,16.25
Jahlil OkaforDET,C,27,12.9,5.4,2.3,3.8,61.8,0.1,0.3,22.2,0.6,0.9,70.8,2.4,0.5,0.2,0.2,0.8,0,0,13.2
Josh OkogieMIN,SF,59,20.3,5.4,1.7,4.3,40.2,0.5,1.8,26.9,1.4,1.8,76.9,2.6,1.1,0.9,0.5,0.7,0,0,9.16
Taj GibsonNY,C,45,20.8,5.4,2.2,3.5,62.7,0.1,0.3,20.0,0.9,1.2,72.7,5.6,0.8,0.7,1.1,0.5,0,0,16.05
Tony SnellATL,SF,47,21.1,5.3,1.9,3.6,51.5,1.3,2.3,56.9,0.2,0.2,100.0,2.4,1.3,0.3,0.2,0.4,0,0,9.48
Jarrett CulverMIN,G,34,14.7,5.3,2.0,4.9,41.1,0.4,1.6,24.5,0.9,1.4,60.4,3.1,0.7,0.5,0.3,0.8,1,0,8.8
Willie Cauley-SteinDAL,C,53,17.1,5.3,2.2,3.4,63.2,0.0,0.2,9.1,0.9,1.5,62.8,4.5,0.7,0.4,0.8,0.5,1,0,14.32
Glenn Robinson IIISAC,F,23,16.0,5.3,1.8,4.3,42.4,0.7,1.9,36.4,0.9,1.0,91.3,2.0,0.9,0.2,0.1,0.5,0,0,9.08
Mason JonesPHI/HOU,SG,32,10.4,5.3,1.6,3.8,42.3,0.8,2.1,36.4,1.3,2.0,62.5,1.7,1.3,0.2,0.0,0.9,0,0,12.17
Maurice HarklessSAC/MIA,SF,37,20.9,5.2,1.9,4.5,41.8,0.6,2.3,27.4,0.9,1.2,76.7,2.4,1.2,0.8,0.5,0.6,0,0,8.14
D.J. WilsonMIL/HOU,PF,35,12.4,5.2,1.9,4.8,40.5,0.9,2.5,34.5,0.5,0.7,68.0,3.2,0.7,0.3,0.5,0.6,1,0,11.58
Alize JohnsonBKN,F,18,10.5,5.2,2.2,3.8,58.8,0.1,0.3,16.7,0.7,0.7,100.0,5.0,0.8,0.3,0.3,0.5,2,0,23.59
Dylan WindlerCLE,SG,31,16.5,5.2,1.8,4.2,43.8,0.8,2.5,33.8,0.7,0.9,77.8,3.5,1.1,0.6,0.4,1.0,1,0,10.8
Patrick PattersonLAC,PF,38,15.3,5.2,1.9,4.3,43.6,1.1,2.9,35.7,0.3,0.4,76.5,2.0,0.8,0.4,0.2,0.3,0,0,10.96
Jake LaymanMIN,SF,45,13.9,5.1,2.0,4.1,49.5,0.5,1.7,29.5,0.6,0.8,70.3,1.5,0.6,0.6,0.4,0.6,0,0,11.41
Goga BitadzeIND,C,45,12.5,5.1,1.8,4.3,42.8,0.4,1.8,25.3,1.0,1.4,73.8,3.3,0.8,0.2,1.3,0.4,0,0,16.36
Isaiah HartensteinCLE/DEN,C,46,12.2,5.1,2.0,3.7,55.0,0.0,0.1,33.3,1.0,1.5,64.8,3.9,1.2,0.4,0.8,1.0,1,0,17.98
Sekou DoumbouyaDET,SF,56,15.5,5.1,1.9,5.0,37.9,0.5,2.1,22.6,0.8,1.1,70.3,2.6,0.8,0.4,0.2,0.8,0,0,6.91
Nerlens NoelNY,C,64,24.2,5.1,2.1,3.5,61.4,0.0,0.0,0.0,0.8,1.1,71.4,6.4,0.7,1.1,2.2,1.0,2,0,14.82
Marc GasolLAL,C,52,19.1,5.0,1.7,3.7,45.4,1.0,2.3,41.0,0.7,1.0,72.0,4.1,2.1,0.5,1.1,1.0,0,0,12.24
Jordan McLaughlinMIN,PG,51,18.4,5.0,2.0,4.7,41.3,0.6,1.8,35.9,0.5,0.6,76.7,2.1,3.8,1.0,0.1,1.0,0,0,12.07
Bismack BiyomboCHA,C,66,20.4,5.0,2.2,3.7,58.7,0.0,0.0,0.0,0.7,1.6,44.8,5.3,1.2,0.3,1.1,1.1,3,0,11.76
Trey LylesSA,PF,23,15.6,5.0,1.9,3.9,47.8,0.6,1.7,35.0,0.7,1.0,65.2,3.7,0.6,0.3,0.0,0.3,1,0,11.4
Precious AchiuwaMIA,F,61,12.1,5.0,2.0,3.7,54.4,0.0,0.0,0.0,0.9,1.8,50.9,3.4,0.5,0.3,0.5,0.7,3,0,14.24
Caleb MartinCHA,SF,53,15.4,5.0,1.8,4.8,37.5,0.6,2.4,24.8,0.8,1.2,64.1,2.7,1.3,0.7,0.2,0.6,1,0,9.55
E'Twaun MoorePHX,G,27,14.4,4.9,2.0,4.5,45.5,0.4,1.3,31.4,0.4,0.5,85.7,1.7,1.5,0.6,0.2,0.9,0,0,10.41
Jerome RobinsonWSH,SG,17,17.9,4.9,1.6,5.6,29.5,0.6,2.5,26.2,0.9,1.2,80.0,2.2,1.5,0.7,0.4,1.1,0,0,4.1
Tyler CookBKN/DET,F,32,13.7,4.9,2.2,3.2,67.0,0.0,0.1,50.0,0.5,1.1,48.6,3.0,0.5,0.3,0.1,0.7,0,0,12.83
Brandon GoodwinATL,PG,47,13.2,4.9,1.8,4.7,37.7,0.7,2.2,31.1,0.6,0.9,65.1,1.5,2.0,0.4,0.0,0.8,0,0,9.22
Gabe VincentMIA,PG,50,13.1,4.8,1.8,4.7,37.8,0.9,3.0,30.9,0.4,0.5,87.0,1.1,1.3,0.4,0.0,0.7,1,0,7.67
Wesley MatthewsLAL,SG,58,19.5,4.8,1.5,4.3,35.3,1.1,3.4,33.5,0.6,0.7,85.4,1.6,0.9,0.7,0.3,0.4,0,0,7.18
Langston GallowayPHX,SG,40,11.0,4.8,1.7,3.7,44.9,0.9,2.1,42.4,0.6,0.6,95.7,1.1,0.7,0.2,0.0,0.3,0,0,12.12
Aaron NesmithBOS,SF,46,14.5,4.7,1.7,3.9,43.8,0.9,2.3,37.0,0.5,0.6,78.6,2.8,0.5,0.3,0.2,0.5,0,0,9.46
Troy Brown Jr.CHI/WSH,SF,34,15.4,4.7,1.8,4.2,43.1,0.6,2.1,31.4,0.4,0.6,71.4,3.1,0.9,0.3,0.2,0.6,0,0,8.57
Boban MarjanovicDAL,C,33,8.2,4.7,1.9,3.7,50.8,0.0,0.2,12.5,0.9,1.2,81.6,3.9,0.3,0.1,0.2,0.4,3,0,22.62
