NOMBRE,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,PER
Tremont WatersBOS,PG,26,9.2,3.8,1.3,3.2,40.5,0.6,1.5,39.5,0.6,0.7,94.1,0.8,2.4,0.6,0.0,1.0,0,0,14.64
Skylar MaysATL,SG,33,8.2,3.8,1.3,3.0,44.9,0.4,1.2,35.0,0.7,0.8,88.0,1.1,0.9,0.4,0.1,0.3,0,0,16.8
Nathan KnightATL,F,33,8.5,3.8,1.1,3.0,37.0,0.2,1.0,18.2,1.3,1.7,80.0,2.2,0.2,0.3,0.3,0.5,1,0,13.89
Thon MakerCLE,F,8,9.5,3.8,1.3,2.3,55.6,0.0,0.3,0.0,1.3,1.4,90.9,2.3,0.5,0.3,0.5,0.4,0,0,18.67
Isaiah JoePHI,SG,41,9.3,3.7,1.2,3.2,36.1,1.0,2.6,36.8,0.4,0.6,75.0,0.9,0.5,0.3,0.1,0.3,0,0,9.53
P.J. TuckerMIL/HOU,PF,52,26.1,3.7,1.3,3.4,37.3,0.8,2.3,33.6,0.4,0.5,75.0,3.9,1.2,0.8,0.4,0.8,0,0,5.55
Luka SamanicSA,PF,33,9.3,3.7,1.4,3.2,44.8,0.4,1.3,27.9,0.5,0.9,55.2,2.1,0.5,0.2,0.2,0.6,0,0,9.83
Javonte GreenBOS/CHI,PG,41,11.6,3.6,1.3,2.5,52.0,0.2,0.7,33.3,0.7,1.0,75.0,1.7,0.4,0.7,0.1,0.5,0,0,12.17
Wenyen GabrielNO,PF,21,11.5,3.4,1.1,2.9,40.0,0.6,1.5,40.6,0.5,0.8,64.7,2.6,0.5,0.4,0.4,0.7,0,0,9.78
Luke KornetBOS/CHI,C,31,11.2,3.4,1.4,3.3,43.6,0.5,1.9,25.4,0.1,0.2,50.0,2.2,0.8,0.1,1.0,0.2,0,0,13.29
Paul ReedPHI,SF,26,6.8,3.4,1.6,3.0,53.8,0.0,0.2,0.0,0.2,0.3,50.0,2.3,0.5,0.4,0.5,0.5,1,0,21.29
Meyers LeonardMIA/OKC,C,3,9.7,3.3,1.0,2.3,42.9,1.0,2.3,42.9,0.3,0.7,50.0,2.3,0.7,0.0,0.0,0.7,0,0,6.65
Quinn CookLAL/CLE,PG,23,6.8,3.3,1.3,3.0,42.6,0.5,1.1,42.3,0.3,0.3,87.5,0.7,0.8,0.2,0.0,0.3,0,0,12.78
Zeke NnajiDEN,PF,42,9.5,3.2,1.2,2.5,48.1,0.6,1.4,40.7,0.3,0.4,80.0,1.5,0.2,0.2,0.1,0.2,0,0,11.34
Amir CoffeyLAC,SG,44,9.0,3.2,1.0,2.3,43.7,0.5,1.3,41.1,0.6,0.9,71.1,1.0,0.5,0.2,0.0,0.3,0,0,10.07
Killian TillieMEM,C,18,10.1,3.2,1.1,3.2,33.3,0.6,1.8,30.3,0.5,0.6,81.8,1.3,0.4,0.3,0.4,0.1,0,0,8.58
Mamadi DiakiteMIL,F,14,10.1,3.1,1.1,2.9,40.0,0.1,0.6,12.5,0.8,1.0,78.6,2.4,0.6,0.5,0.4,0.2,0,0,12.32
Alfonzo McKinnieLAL,SF,39,6.6,3.1,1.2,2.4,51.6,0.4,1.0,41.0,0.3,0.5,55.6,1.4,0.2,0.2,0.0,0.1,0,0,15.59
Romeo LangfordBOS,SG,18,15.7,3.1,1.2,3.3,35.6,0.3,1.0,27.8,0.5,0.7,75.0,1.9,0.7,0.3,0.3,0.6,0,0,5.1
Ryan ArcidiaconoCHI,PG,44,10.2,3.1,1.1,2.7,41.9,0.6,1.5,37.3,0.3,0.5,65.0,1.5,1.3,0.2,0.0,0.2,0,0,9.85
Matt ThomasUTAH/TOR,SG,45,7.3,3.1,1.1,2.8,39.4,0.6,1.8,33.8,0.3,0.3,85.7,1.0,0.4,0.1,0.0,0.3,0,0,9.2
Anthony GillWSH,PF,26,8.4,3.1,1.2,2.3,50.0,0.3,0.9,29.2,0.5,0.6,81.3,2.0,0.4,0.4,0.2,0.3,0,0,13.71
Jahmi'us RamseySAC,SG,13,7.2,3.1,1.2,2.9,39.5,0.4,1.5,26.3,0.4,0.4,100.0,0.8,0.5,0.3,0.1,0.2,0,0,10.54
Gary ClarkDEN/ORL/PHI,SF,39,16.8,3.1,1.0,3.4,30.3,0.8,2.8,28.7,0.2,0.3,80.0,2.9,0.8,0.3,0.2,0.4,0,0,6.01
Cameron ReynoldsSA/HOU,SF,5,8.0,3.0,1.2,3.6,33.3,0.6,2.4,25.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0,0,6.54
Reggie PerryBKN,PF,26,8.1,3.0,1.2,3.0,41.0,0.2,0.8,19.0,0.4,0.5,76.9,2.8,0.5,0.2,0.2,0.6,1,0,11.01
Nicolo MelliNO/DAL,PF,45,12.6,3.0,1.0,3.1,32.6,0.5,1.9,27.1,0.4,0.6,76.0,2.7,1.0,0.3,0.1,0.3,0,0,7.88
Sam MerrillMIL,SG,30,7.8,3.0,1.1,2.4,44.4,0.7,1.6,44.7,0.1,0.1,100.0,1.0,0.7,0.3,0.0,0.3,0,0,11.93
Trent ForrestUTAH,SG,30,10.1,2.9,1.1,2.4,45.1,0.2,0.9,19.2,0.6,0.6,100.0,1.5,1.5,0.3,0.1,0.7,0,0,11.19
Thanasis AntetokounmpoMIL,SF,57,9.7,2.9,1.2,2.4,48.9,0.1,0.5,24.1,0.4,0.9,51.0,2.2,0.8,0.4,0.2,0.8,1,0,10.3
Harry Giles IIIPOR,PF,38,9.2,2.8,1.1,2.6,43.3,0.2,0.6,34.8,0.4,0.7,59.3,3.5,0.8,0.2,0.3,0.5,0,0,12.47
Markus HowardDEN,PG,37,5.5,2.8,1.1,2.9,37.7,0.5,1.8,27.7,0.2,0.2,77.8,0.6,0.5,0.1,0.0,0.5,0,0,6.47
Bruno CabocloHOU,F,6,6.0,2.8,1.3,2.8,47.1,0.0,0.8,0.0,0.2,0.3,50.0,2.3,0.2,0.0,0.3,0.7,0,0,9.07
Kyle GuySAC,SG,31,7.6,2.8,0.9,2.8,33.0,0.4,1.5,28.3,0.5,0.6,80.0,1.1,1.0,0.2,0.0,0.4,0,0,8.59
Matthew DellavedovaCLE,PG,13,17.2,2.8,1.1,4.3,25.0,0.3,1.9,16.0,0.3,0.3,100.0,1.8,4.5,0.3,0.1,0.5,0,0,7.27
Frank NtilikinaNY,PG,33,9.8,2.7,0.9,2.4,36.7,0.7,1.5,47.9,0.2,0.5,44.4,0.9,0.6,0.5,0.1,0.3,0,0,7.75
Didi LouzadaNO,SF,3,18.7,2.7,1.0,4.3,23.1,0.7,2.7,25.0,0.0,0.0,0.0,1.0,1.0,0.7,0.0,1.0,0,0,-0.86
Keita Bates-DiopSA,SF,30,8.2,2.6,1.0,2.2,44.8,0.2,0.6,29.4,0.5,0.7,66.7,1.6,0.4,0.4,0.2,0.2,0,0,12.02
Anderson VarejaoCLE,C,5,7.2,2.6,0.8,3.2,25.0,0.0,0.2,0.0,1.0,1.8,55.6,4.0,0.6,0.0,0.4,0.2,0,0,12.93
Amida BrimahIND,C,5,5.8,2.6,1.0,1.6,62.5,0.0,0.0,0.0,0.6,0.6,100.0,1.6,0.2,0.0,1.0,0.8,0,0,16.61
Josh GreenDAL,SG,39,11.4,2.6,1.1,2.4,45.2,0.1,0.6,16.0,0.3,0.6,56.5,2.0,0.7,0.4,0.1,0.4,0,0,8.8
Grant RillerCHA,G,7,3.9,2.6,1.1,1.7,66.7,0.3,0.6,50.0,0.0,0.0,0.0,0.1,0.4,0.1,0.0,0.1,0,0,23.68
Tre JonesSA,PG,37,7.3,2.5,1.0,2.1,47.4,0.1,0.1,60.0,0.5,0.5,89.5,0.6,1.1,0.2,0.0,0.4,0,0,12.12
Jordan BellWSH/GS,F,6,13.7,2.5,1.2,3.7,31.8,0.0,0.3,0.0,0.2,0.3,50.0,4.0,1.2,0.5,0.8,0.7,0,0,8.03
Gary Payton IIGS,PG,10,4.0,2.5,1.0,1.3,76.9,0.2,0.4,50.0,0.3,0.4,75.0,1.1,0.1,0.6,0.1,0.1,0,0,29.3
KZ OkpalaMIA,SF,37,12.1,2.5,1.0,2.6,37.5,0.3,1.4,24.0,0.2,0.4,53.3,1.8,0.5,0.3,0.3,0.4,0,0,5.23
Tacko FallBOS,C,19,7.2,2.5,1.1,1.5,72.4,0.0,0.0,0.0,0.3,0.8,33.3,2.7,0.2,0.1,1.1,0.3,0,0,19.67
Rondae Hollis-JeffersonPOR,SF,11,9.7,2.5,0.8,1.6,50.0,0.0,0.1,0.0,0.8,1.5,56.3,2.4,1.2,0.2,0.4,0.2,0,0,14.4
Jeremiah MartinCLE,PG,9,8.3,2.4,1.0,3.7,27.3,0.3,1.3,25.0,0.1,0.6,20.0,0.8,0.4,0.6,0.2,0.7,0,0,1.45
Mfiondu KabengeleLAC/SAC/CLE,C,39,7.2,2.4,0.8,2.3,37.1,0.3,1.3,26.0,0.4,0.5,80.0,1.5,0.4,0.2,0.3,0.4,0,0,9.59
Rayjon TuckerPHI,SG,14,4.9,2.4,0.6,1.3,50.0,0.1,0.5,28.6,1.0,1.4,73.7,0.8,0.4,0.1,0.0,0.3,0,0,15.13
Vernon Carey Jr.CHA,C,19,6.1,2.4,0.9,1.9,50.0,0.1,0.4,14.3,0.5,0.6,81.8,1.4,0.1,0.1,0.3,0.3,0,0,11.71
Wes IwunduNO/DAL,SF,41,13.1,2.4,0.8,2.5,33.3,0.1,1.0,12.2,0.6,0.8,83.9,2.2,0.4,0.4,0.1,0.5,0,0,4.37
Justin RobinsonOKC,G,9,9.8,2.3,0.8,2.3,33.3,0.4,1.6,28.6,0.3,0.6,60.0,0.8,1.0,0.3,0.0,0.2,0,0,6.05
Quinndary WeatherspoonSA,SG,20,6.1,2.3,0.8,1.8,45.7,0.1,0.3,16.7,0.7,0.8,81.3,0.6,0.4,0.4,0.1,0.5,0,0,9.67
Jarrell BrantleyUTAH,PF,28,4.9,2.3,0.9,1.9,48.1,0.4,1.0,42.9,0.1,0.1,100.0,1.0,0.5,0.3,0.1,0.3,0,0,16.69
CJ EllebyPOR,SG,30,6.4,2.3,0.8,2.2,37.9,0.2,1.1,20.6,0.4,0.5,73.3,1.1,0.3,0.2,0.1,0.2,0,0,9.39
Sean McDermottMEM,SG,18,8.8,2.2,0.7,1.8,39.4,0.3,1.2,22.7,0.4,0.4,100.0,1.1,0.2,0.1,0.2,0.2,0,0,7.24
Bol BolDEN,C,32,5.0,2.2,0.8,1.8,43.1,0.3,0.8,37.5,0.3,0.5,66.7,0.8,0.2,0.1,0.3,0.4,0,0,9.46
Shaquille HarrisonUTAH/DEN,SG,34,9.8,2.1,0.8,2.3,33.3,0.1,0.5,18.8,0.5,0.6,81.8,1.4,0.7,0.5,0.1,0.3,0,0,6.85
Chris SilvaSAC/MIA,PF,15,6.1,2.1,0.7,1.1,62.5,0.1,0.1,100.0,0.7,1.0,73.3,1.8,0.4,0.1,0.4,0.7,0,0,11.5
Devon DotsonCHI,PG,11,4.5,2.1,1.0,1.9,52.4,0.1,0.6,14.3,0.0,0.0,0.0,0.5,0.6,0.4,0.0,0.0,0,0,19.42
Ed DavisMIN,C,23,13.0,2.1,0.8,1.9,43.2,0.0,0.0,0.0,0.4,0.5,83.3,5.0,0.9,0.6,0.6,0.3,0,0,13.14
Vlatko CancarDEN,SF,41,6.9,2.1,0.8,1.8,45.8,0.2,0.8,27.3,0.2,0.3,76.9,1.2,0.3,0.3,0.0,0.3,0,0,9.78
Deividas SirvydisDET,SG,20,6.7,2.1,0.7,2.0,35.0,0.5,1.4,35.7,0.2,0.3,50.0,1.5,0.3,0.1,0.0,0.3,0,0,5.71
Ray SpaldingHOU,F,2,9.5,2.0,1.0,2.0,50.0,0.0,0.5,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.5,0,0,0.84
Jontay PorterMEM,PF,11,4.9,2.0,0.7,1.4,53.3,0.3,0.7,37.5,0.3,0.5,60.0,1.3,0.1,0.3,0.1,0.6,0,0,9.25
Jalen SmithPHX,PF,27,5.8,2.0,0.8,1.9,44.0,0.1,0.6,23.5,0.2,0.3,71.4,1.4,0.1,0.0,0.2,0.3,1,0,8.51
Sindarius ThornwellNO/ORL,SG,21,10.3,2.0,0.7,2.2,32.6,0.3,1.1,30.4,0.2,0.4,50.0,0.9,1.0,0.6,0.1,0.3,0,0,6.59
Nate HintonDAL,SG,21,4.4,2.0,0.7,2.0,35.7,0.2,0.9,21.1,0.3,0.5,70.0,0.4,0.4,0.3,0.1,0.2,0,0,10.41
Devontae CacokLAL,PF,20,4.9,2.0,0.9,1.5,58.6,0.0,0.0,0.0,0.3,0.6,45.5,1.6,0.1,0.3,0.2,0.3,0,0,17.24
Isaac BongaWSH,G,40,10.8,2.0,0.8,2.0,37.0,0.3,1.2,27.7,0.1,0.2,62.5,1.7,0.6,0.3,0.2,0.6,0,0,4.03
Miye OniUTAH,SG,54,9.6,1.9,0.6,1.8,35.4,0.6,1.6,34.1,0.1,0.1,83.3,1.6,0.5,0.2,0.1,0.3,0,0,6.46
Alen SmailagicGS,PF,15,5.6,1.9,0.7,1.8,40.7,0.3,0.7,40.0,0.1,0.4,33.3,1.1,0.3,0.2,0.3,0.3,0,0,8.98
Cassius WinstonWSH,PG,22,4.5,1.9,0.6,1.5,42.4,0.4,0.8,47.1,0.2,0.3,83.3,0.4,0.5,0.1,0.0,0.2,0,0,10.86
Daniel OturuLAC,C,30,5.4,1.8,0.7,1.7,42.3,0.0,0.2,20.0,0.3,0.4,75.0,1.6,0.3,0.1,0.2,0.3,1,0,12.5
Axel ToupaneMIL,SG,8,7.6,1.8,0.5,1.4,36.4,0.1,0.3,50.0,0.6,0.9,71.4,0.8,0.5,0.3,0.4,0.0,0,0,9.05
Elijah HughesUTAH,SF,18,3.6,1.7,0.6,1.7,33.3,0.4,1.3,34.8,0.2,0.2,75.0,0.5,0.3,0.1,0.1,0.3,0,0,8.5
T.J. LeafPOR,PF,7,5.0,1.7,0.7,1.4,50.0,0.0,0.0,0.0,0.3,0.3,100.0,0.7,0.1,0.3,0.1,0.3,0,0,11.27
